1	     -18	 0.51111
2	       0	 0.51111
3	      18	 0.51111
4	     -23	 0.41111
5	      23	 0.41111
6	     -54	 0.51111
7	     -49	 0.41667
8	     -39	 0.33333
9	     -22	 0.27778
10	       0	 0.25556
11	      22	 0.27778
12	      39	 0.33333
13	      49	 0.41667
14	      54	 0.51111
15	     -72	 0.51111
16	     -69	 0.39444
17	     -62	 0.27778
18	     -45	 0.17778
19	       0	 0.12778
20	      45	 0.17778
21	      62	 0.27778
22	      69	 0.39444
23	      72	 0.51111
24	     -90	 0.51111
25	     -90	 0.38333
26	     -90	 0.25556
27	     -90	 0.12778
28	      90	       0
29	      90	 0.12778
30	      90	 0.25556
31	      90	 0.38333
32	      90	 0.51111
33	    -105	 0.51111
34	    -111	 0.39444
35	    -118	 0.27778
36	    -135	 0.17778
37	     180	 0.12778
38	     135	 0.17778
39	     118	 0.27778
40	     111	 0.39444
41	     105	 0.51111
42	    -120	 0.51111
43	    -131	 0.41667
44	    -141	 0.33333
45	    -158	 0.27778
46	     180	 0.25556
47	     158	 0.27778
48	     141	 0.33333
49	     131	 0.41667
50	     120	 0.51111
51	    -135	 0.51111
52	    -147	 0.46838
53	    -157	 0.41111
54	     180	 0.38333
55	     157	 0.41111
56       147	 0.46838
57	     135	 0.51111
58	    -150	 0.51111
59	    -165	 0.51111
60	     180	 0.51111
61	     165	 0.51111
62	     150	 0.51111
