nohup: ignoring input
session: 0, experiment: 0
epoch 100,loss 0.0015,train acc 0.964,test acc 0.295
epoch 200,loss 0.0001,train acc 1.000,test acc 0.365
epoch 300,loss 0.0000,train acc 1.000,test acc 0.365
epoch 400,loss 0.0000,train acc 1.000,test acc 0.481
epoch 500,loss 0.0000,train acc 1.000,test acc 0.365
epoch 600,loss 0.0000,train acc 1.000,test acc 0.365
epoch 700,loss 0.0000,train acc 1.000,test acc 0.365
epoch 800,loss 0.0000,train acc 1.000,test acc 0.365
epoch 900,loss 0.0000,train acc 1.000,test acc 0.365
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.365
session: 0, experiment: 1
epoch 100,loss 0.0039,train acc 0.843,test acc 0.299
epoch 200,loss 0.0002,train acc 1.000,test acc 0.307
epoch 300,loss 0.0000,train acc 1.000,test acc 0.303
epoch 400,loss 0.0000,train acc 1.000,test acc 0.315
epoch 500,loss 0.0000,train acc 1.000,test acc 0.311
epoch 600,loss 0.0000,train acc 1.000,test acc 0.303
epoch 700,loss 0.0000,train acc 1.000,test acc 0.315
epoch 800,loss 0.0000,train acc 1.000,test acc 0.303
epoch 900,loss 0.0000,train acc 1.000,test acc 0.315
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.307
session: 0, experiment: 2
epoch 100,loss 0.0038,train acc 0.844,test acc 0.295
epoch 200,loss 0.0005,train acc 0.975,test acc 0.295
epoch 300,loss 0.0001,train acc 1.000,test acc 0.295
epoch 400,loss 0.0000,train acc 1.000,test acc 0.295
epoch 500,loss 0.0000,train acc 0.995,test acc 0.295
epoch 600,loss 0.0000,train acc 1.000,test acc 0.295
epoch 700,loss 0.0000,train acc 1.000,test acc 0.295
epoch 800,loss 0.0000,train acc 1.000,test acc 0.295
epoch 900,loss 0.0000,train acc 1.000,test acc 0.295
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.295
session: 0, experiment: 3
epoch 100,loss 0.0035,train acc 0.856,test acc 0.166
epoch 200,loss 0.0001,train acc 1.000,test acc 0.216
epoch 300,loss 0.0000,train acc 1.000,test acc 0.245
epoch 400,loss 0.0000,train acc 1.000,test acc 0.278
epoch 500,loss 0.0000,train acc 1.000,test acc 0.282
epoch 600,loss 0.0000,train acc 1.000,test acc 0.282
epoch 700,loss 0.0000,train acc 1.000,test acc 0.332
epoch 800,loss 0.0000,train acc 1.000,test acc 0.307
epoch 900,loss 0.0000,train acc 1.000,test acc 0.328
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.349
session: 0, experiment: 4
epoch 100,loss 0.0033,train acc 0.867,test acc 0.253
epoch 200,loss 0.0007,train acc 0.956,test acc 0.253
epoch 300,loss 0.0001,train acc 1.000,test acc 0.253
epoch 400,loss 0.0000,train acc 1.000,test acc 0.253
epoch 500,loss 0.0000,train acc 1.000,test acc 0.253
epoch 600,loss 0.0000,train acc 1.000,test acc 0.253
epoch 700,loss 0.0000,train acc 1.000,test acc 0.253
epoch 800,loss 0.0000,train acc 1.000,test acc 0.253
epoch 900,loss 0.0000,train acc 1.000,test acc 0.253
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.253
session: 0, experiment: 5
epoch 100,loss 0.0014,train acc 0.985,test acc 0.000
epoch 200,loss 0.0001,train acc 1.000,test acc 0.133
epoch 300,loss 0.0000,train acc 1.000,test acc 0.245
epoch 400,loss 0.0000,train acc 1.000,test acc 0.295
epoch 500,loss 0.0000,train acc 1.000,test acc 0.290
epoch 600,loss 0.0000,train acc 1.000,test acc 0.270
epoch 700,loss 0.0000,train acc 1.000,test acc 0.278
epoch 800,loss 0.0000,train acc 1.000,test acc 0.311
epoch 900,loss 0.0000,train acc 1.000,test acc 0.315
